Tweet-text,Uniqueness
"My guess is the founder is saying the same thing about you. Who knows how many years that founder put into that business out of their kitchen, WeWork, strip mall etc. This ain't the look you want out there for founders thinking about taking a check from you. Let them man live. 😞 https://t.co/5rUh7xHm2u",Non-literary
I’m certainly in… are you? Who wants to compete with the 🐳?? https://t.co/FSfdArOnpB https://t.co/n4IZzztjft,Non-literary
"@DecTime2SpeakUp @GeorgeFoulkes @LesleyRiddoch @NicolaSturgeon If this did indeed happen then i bet he was brilliant . If no one got  second chances , three etc.what would yous unionist's do ? The uda , uvf and on and on ! It's Yahoo's like you who do Scotland down not our English neighbors !",Literary
"⠀⠀
⠀⠀⠀⠀Family are not just people who coddle you, who grant you your every whim. They are people who fight for you, who you fight for.
⠀⠀",Literary
"86. his brother's shoulders, throwing a wink at Taehyung who chuckled. 

Jungkook smirked and playfully pinched his brother on the arm. 

""Atleast I have a boyfriend unlike you who is still crushing helplessly~"" Jungkook teased him and dodged the playful slap he was about to-",Literary
"The most dangerous people are not dangerous people ,it's the people trying to prove that they dangerous people. People like you who want acceptance but ain't really evil. 

Stay strong be different!!!",Literary
"""[…] But because you decided to run and hide here, they have known a hunger that they never needed to feel, suffered pain that could have been avoided. Yes, we did imbue them with their Atma, but you need to realize that it's you who's been the root cause of all of this.""",Non-literary
"@xBallisLife31x @Gerbalyn Lol my opinion sucks ? Why Bc you couldn’t have an intelligent debate? 
Bc you couldn’t back up your statement of facts. Bc it’s ppl like you Who think they know everything. But in fact I don’t know shit abt anything. Ugly ppl really do be miserable",Non-literary
@10kTakes_ Zimmer drafted and made you who you are now! The offensive coordinators coached Rudy!,Literary
@Cryptic_Miind Haha! Nice try but everyone with a functioning brain here knows he clearly knows  his subject unlike you trying to score points by twisting facts. Cryptic mind alright...It's you who is every bit fake,Literary
"@mileslunn @bachausProtonm1 @NoGunsInCanada I always do learn from them.

Unlike you who have nothing of importance to offer.",Literary
"@TeslaAIBot @Sangram2sahu Humans is known among people, he forgets everything, you who are a robot, why did you forget ??😉🙃 https://t.co/MEs6Bbt2hh",Literary
"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year holaescam 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/F5kgKEWfaM https://t.co/jeX8Nwn5iU",Literary
"i want you, who doesn’t care about any stares",Non-literary
"@miragenos @pomegrana_te Like, bro, I want you to be the better version of you, who is still whatever type of anarchist you are but doesn’t sound so corny about it.",Literary
@nanayawsuspence And it's made you who you are today 😎,Literary
"@XxcrayzeezxX @Fredderikkk @pastajoe5 @WGRZ They are also short staffed because of a global pandemic and scared boys like you who are rushing to the hospital once your tough guy attitude goes away, and you beg for your life.",Literary
@zealprecious1 @OgbeniDipo Nigerians go reply you who be your mate do you no my age,Literary
"You brood of vipers, how can you who are evil say anything good? ...I am not concerned that I am not known, I seek to be worthy to be known.",Literary
"#Quran 

O you #people ! You #recite this #Verse O you who believe! Take care of yr ownselves. If yu follow the (right) guidance [&amp; enjoin what is right ( #Islamic #Monotheism ) &amp; forbid what is wrong (polytheism] no hurt can come to you from those who are in error
 5:105
#Allah",Literary
"@22_Gilly @GentlemanSparky @MsSweetTD @HJoyceGender @EyeEdinburgh Someone like you who believes our ""gender identity"" trumps our biological sex.",Literary
"It was you who said goodbye
Still, tears run down on your cheeks
If you are going to erase memories of yesterday like this,
that's enough. Just show me your smile",Literary
"@TRUExDEMON Too bad, It was you who gave me the tip on $BBIG and made a butt load on $SPRT but you were not the reason I created either of my positions and I the fact you exited yours, makes no impact on my decision. I know it sounds ungrateful, but I am not. TY.  Mental health comes first.",Literary
"@paykhar You can tweet whatever you want, its not the people, its you who is scared of backlash",Literary
@norytter like you who took this pics,Literary
"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year fxirykarl 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/dbt6ALbI1L https://t.co/ZMaSLSz3ph",Literary
@cardinalrlburke @GuadalupeShrine Your gratitude to God and all that work in the healthcare industry could have gone to protecting those who are exhausted from caring for people like you who refuse to be vaccinated.  Perhaps this is God’s smite to you being a racist individual.,Literary
Someone hurt you? Who? I shall punish them.,Non-literary
just the biggest fucking loser energy. i don't even gotta tell you who's who or whatever it's that level of bad https://t.co/CttpFZp1la,Literary
"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year ItsTayuki 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/kVUEeybAMc https://t.co/xdzyjqJw29",Literary
"@julieXbts neither tastes nor standards matter in front of me, you become to want me and only me, because it's you who made me 
 
– filter",Literary
"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year DaRealSmolToon 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/GRcVvhHizH https://t.co/FWXpKGAx3J",Literary
"@BobalosRex @Aaron53487329 @EveBlackwood69 @The_Statesmen1 @Wowhead this is the kind of nonsense you get with ""government intervention"". you get blizzard giving lip-service to people like you who seem to think it's acceptable progress when really all they're doing is making laughable changes to things literally no one took offense to",Literary
"@itesotdude If people like you who were among the planters forget, now who will tell  my grand kids 😓😓",Literary
@JerKyTV why would anyone be scared to play you? who are you?,Literary
"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year pyro_demons 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/w77Kd79K6N https://t.co/tI5IH7G3mK",Literary
"@jeffdekal @JSwayArt doesn't help this presumption; you seem to be ignoring people who respectfully point out why they don't like your choice, making it look like you're being purposefully obtuse.
True, you made one choice in a series of millions that make you who you are, but each choice says",Literary
"@chrischirp @davidmichaelbr I think we can do better: each kid in an airtight container... The ""bordeline criminals"" are scientists like you who are still pushing for eradication of the virus... you lost, that'a all. There is a vaccine to protect vulnerable  people,  give kids and young people a break...",Literary
"@KFool234 You can’t just tell people to “buck up” because they don’t conform to your emotional bar.

Really sucks to have edgy gamers like you, who think they’ve got life figured out and telling people what to do, representing us. Tsk tsk",Literary
@Munyayiwashe @hwendec Empty is you who thinks hashtags on twitter aren't important. Do with twitter what is important and leave him to do what he sees important. Geri-t?,Literary
@kyrstensinema You sure as hell changed your colors!!  What happened to you!!!  Who bought you off!!  All the sweet tweets in the world will not change anything!!  #EndTheFilibuster,Non-literary
@Harkris31442509 I don’t even know who you’re talking about. I don’t watch desi tiktok and/or i am not familiar w anyone you’re talking about. maybe it’s you who needs to work on your communication skills. i saw what you wrote and called you out for it. it’s not called being ‘illiterate’,Literary
"@hqbinders @AndrewCHarries Yes, but apart from them, those with an IQ above 13, anyone with even two brain cells to rub together and members of moderate political parties, I ask you, who could have known?!",Literary
@rhu777 @BBCchrismclaug Boof….. says you who is all over this. Nice move Mensa. 😵‍💫,Literary
"@EthTechUSA @aalekaa @alanalevinson Just have to leave how much it’s struck me, you who seem to care about how fellow women treat eachother call my explaining my stance “nastiness”. Also next time you might want to hashtag it right #internalizedmisogyny but go off I guess while you practice it yourself.",Literary
"You who believe! Eat of the good things We have provided for you and give thanks to Allah if you worship Him alone. (Qur'an, 2:172)",Non-literary
@tacosransi you do realize you’re responding to 1 person right? but i thought the situation was quite funny. the outcome? even more hilarious. i think it’s you who lack a sense of humor,Literary
"@RetiredBarca @BayernLM10 It's you who's making a fool of yourself. Those stats are for the calendar year 2016, not for the 15/16 season.

Learn to read first before jumping the fake stats wagon",Non-literary
"@SongOfTheMasg @ggreenwald For those [You] who were born yesterday and think a single tweet is the history of the world:
https://t.co/YJKrevGgum",Literary
"@DonGeronimoShow @BIG100Radio @Acosta @CNN @iHeartRadio Can’t wait, Don! You set the standard for me in terms of what good radio was. And it’s been severely lacking in Washington for a long time. So it’s fitting that it’s you who’s back to bring good radio back to the market!",Non-literary
"Can't stand morons like you who can't get to the damned point! Basically you're saying, 'we wanna cause trouble, be our pal!' What a joke! I've always admired All Might's triumphs. No matter what any of you jerks say... Nothing's ever gonna change that! (Katsuki Bakugo)",Non-literary
"Come to me, all you who are weary and burdened, and I will give you rest
Take my yoke upon you and learn from me for I am gentle and humble in heart, and you you find rest for your soul.For my yoke is easy and my burden is light.Mathew11:28-30 #RaptureIsNear",Literary
"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year ting_tingball 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/uluvmFjlXb https://t.co/41F9jBig3a",Literary
"@ZenyTalk Hold on, how is the Noelle/Ralsei option ""the wrong one""? i kinda interpreted that question as the game blatantly asking you ""who do you ship?"", it's true that if you say those options, Susie does note that, but i think the game has strong arguements for kris legit wanting 'em.",Literary
"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year dayeongatita 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/x5esOnwBvD https://t.co/e9YA0J8RfA",Literary
"@PatatasSmall @GoodTexture @Tr0llyTr0llFace No, I have heard dozens like you who claim crypto folks say it, but never actually heard it",Literary
"@BigBossVette @Ebonie_QT You: Who you talking to?
Dog: you bitch! What I gonna do about it",Non-literary
"Interesting watching all the trolls come out to  argue on my very innocuous tweet. Tells you who they are. Behind sweet persona lies controlled op.
https://t.co/lBTyJ5RyCg",Literary
"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year Taesweeties_ 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/t9Pe1xbqgc https://t.co/IFiC74hOEP",Literary
"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year taefltrz 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/DWntm6BtbX https://t.co/biBs3xxNdR",Literary
"🔥🐐Here’s a song for you… Who You Are by J Hus
https://t.co/A6rJdLKp7E",Non-literary
"When someone tells you who they are, listen. 
The CPC locked its MPs and candidates out of its central voter database, an attempt by O’Toole to protect his leadership and deny them access. 
What a major fuckwad. #CPC #Canada https://t.co/wRD6H3ctzP",Literary
"@gracelover712 @TifanyRobb10 IM WITH YOU , WHO ???",Non-literary
"Politicians promise you everything you want if you vote for them. So you do and then when they’re in power they piss all over you……… every feckin Time, regardless of party. 

And every, every 4 years we let them do it again.

I ask you, who’s the fools🤔",Non-literary
"@luvyouneighbor @johnpavlovitz And thanks for completely avoiding the point: the belief 'homosexuality is sin' is evil, it produces murder.  And people like you who teach that belief, are false teachers.",Literary
"@SenSanders Whoa. Let’s start with the insurance companies before we go after pharma. Actually, let’s start with politicians like you who can’t or won’t reform our shitty system.",Non-literary
"@laurenboebert Congresswoman Omar came here as a child, not her choice, but she is an American citizen and actually does her job, unlike you, who thinks hate tweeting and photo ops are what WE pay you to do 24/7.",Literary
"@LatinBoiMuzikk @lucas_koffeman @Metahero_io No, same as my Ig since I got about 100 more followers on there from Twitter stalkers like you. Who R U again? You know I only created a Twitter to find out WTF happend to my HEROn on BITMART. That's the story of this project ITS WHITE PAPER HAS A LOT OF WHITE OUT",Non-literary
"✨ Stolen Kiss

miaxhd would kiss you around the corner... 😏
And you, who would do it?

➡️ https://t.co/DbyHVlTAsy https://t.co/Fi7b53yQMI",Literary
@big_business_ He added this part just for mfs like you who obviously fell for the bells and whistles https://t.co/abaHKWG1IT,Literary
"I want to approach life in a different way,i want to love and value myself more✨Take each day at a time and focus on my dreams and aspirations 🌸because this life it’s only you who has the control over it🪐🪐",Literary
"@vmpace222 @DrewOnTheRadio She is basically saying ""I want you to be aware that you aren't catering to exactly what my 3 friends and I want so we tune away from you""

Who cares what they want?",Non-literary
"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year 17_rain_17 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/bYcsfougx9 https://t.co/lP38rX3oP8",Literary
"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year fulan0delbutano 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/beQ0QbX8MS https://t.co/WKnwG4Cmpf",Literary
@IanLucas0408 @AdamMacVicar @GlobalCalgary @kenney People like you who are blindly complying with everything are prolonging this insanity.,Literary
"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year DiegoMonty_ 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/FsvyPnus7s https://t.co/40JK3hVUn4",Literary
@nick_skeyes GN Nick! Have a great day! Quick question for you…who is your football team?,Literary
"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year 2cool4hsk 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/K6uoylRLo5 https://t.co/3JmLRfrheg",Literary
"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year taefilx 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/acwSyA7ctn https://t.co/8mr9gObP4X",Literary
"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year fulan0delbutano 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/beQ0QbX8MS https://t.co/W3ayfMv3zE",Literary
"@elenasdecker @xallconnectedx Melissa is a kind person, we can all agree on that right? So do you think she would be more approving of @xallconnectedx who was only trying to be sympathetic and wish her well or you who tried to tear down a fellow Mel fan? I think you can make a logical guess. I don’t (1/2)",Literary
But it’s you who I want https://t.co/PgYidvSOO5,Literary
@UnafraidT @mama_sweetums @1LogicalMan you who think the election was stolen..,Literary
@ImAlwaysWriting Someone has to keep an eye on you ! Who know what you’re capable of 😂,Non-literary
@WorldInAGirl1 @PETEPETEPETERR @michaelfowler08 @mrpford @theage You don’t get that you are being groomed by white supremacist groups.  I kinda know what tradies are about. My dad is a builder. A real tradie would understand the significance of the West Gate and never dance on it. It’s you who needs to wake up,Literary
"@K_Birkwood Thanks!!
I swear it’s people like you that make the world a better place everyday. It’s people like you who keep the world from falling apart, so a lot of respect to you :)",Literary
@defjam i just TOLD you who i thought i am. a GOD.,Literary
"How book identifies fans: It should be easy enough and unique enough that a hashtag or search term on social media, Google alerts and blog dragging  shows you who the fans are.

#AskPublisher #WriteTip #BookMarketing &gt;&gt;",Literary
"Update: Still not done but wow, what a vile response. One thing is pretty clear: Those in sin whose hearts are hardened will definitely try to bully you who call them out by twisting Scripture and using theology as a weapon to fit their evil. https://t.co/MkFEnXZiso",Literary
"The thing is, people like you who veil insults with well written grammer and see no wrong with our owners, and the d*umb FSG outers that see no positivity are two different sides of the same coin. https://t.co/mT9DhFzGnb",Literary
"@nathaliejacoby1 246 followers and yes, of course I’m following you! Who wouldn’t!?",Non-literary
"so annoying! dancing with you who gave me a 'hello' making me spinning, spinning",Literary
"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year FISVCH 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/AIjmPxXZZS https://t.co/ay2NYWGJkS",Literary
"@dpfunke Daniel, I can't tell you how fun it is to watch James O'Keefe drag leftist scumbags like you who work in cohesion with the tech companies to get his work pulled.  Actually, I guess I'm saying thank you. 😊",Literary
"O great malignant, reveal thyself.

Cease illusion from your cocoon of deceit,
Show your unsightly face of torturous mind maggots.
Show your lethal visage of self made projections.
Show me the you who is not veiled.

Reveal to me what i am.",Literary
"Its only YOU who can embrace your pain😭
No one Can ever feel a millionth part of it.💔
.
.
.
#quoteoftheday",Literary
"@SteveDaines @JoeBiden I don't see ANY weakness. He is facing an uphill battle with trumplicans like you who spend their time undermining him rather than working WITH him to heal this country from 4 years of disaster from the last President.  Quit bashing him, get off Twitter and work WITH him!",Literary
"@BluesRagdoll @FrankFigliuzzi1 I grow my own herbs and shop local growers for veggies but have been in food service for years. Buying Organic is too costly for a restaurant to use. GM or VLP Veggies are not going to be consumed by the masses because of cost effectiveness. Besides me &amp; you, who else cooks?",Literary
"Dude, you need to quit fucking snapchatting McKenna. Stop. She doesn't respond with anything meaningful for a reason and she's not interested in you. Who am I? The man whom she is in love with. She already told me not to worry, she's not interested in you. Sorry I bothered you ki",Non-literary
@MrRedaddy @MasterofLightKH @HMKilla I'm really glad it isn't up to you who gets in smash because your tastes sound incredibly boring.,Literary
@strangebrewllc @GovAndyBeshear LITERALLY NO ONE HAS EVER SAID YOU CAN’T DIE IF YOURE VACCINATED. You’re just less likely to. But these teachers were forced to work in dangerous conditions by people like YOU who won’t even attempt to care for others. It’s shameful.,Non-literary
"10.  There will always be some jerk in your way.
Don’t let them take your light away.

It’s you who have final say not them.",Literary
"@CovKid75 @LeytonTim @russellcrowe In the U.K., the unvaccinated, like every one else, have ALREADY PAID FOR THEIR TREATMENT, so if they need it, they DESERVE TO HAVE IT.  The problem here is people like you who promote division.",Literary
"@WrittenByHanna You….you are from the south! My southern sister, who did this to you? Who taught you to hate the lemonade that quenched the thirst of our ancestors? Who taught you this hate?!!!!!",Literary
When @SenatorCollins shows you who she is believe it. She will not protect women’s reproductive rights. https://t.co/FoferVgRAS,Literary
"Unlike you who's got a carefree life, I'm desperately trying to live up to that damn old man's expectations everyday!",Non-literary
@normsworld I don't believe victims because they are victims. I believe the evidence. People like you who just blindly believe the victim are the problem. Maybe you don't deserve to serve as an MP.,Literary
"@SinonSupremacy What the hell are you talking about, honey? I didn't say a single swear word, unlike you, who found insults in the smiley 🤡. You don't want to waste your time on me, but you devoted two posts to me👏🏻 Do you have bipolar disorder too?🤔",Literary
"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year YUTOYOTU 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/tTwgkr2Qyj https://t.co/gpDUB8XloG",Literary
"@FloofiFuzzi @oinionboi1 @KhanWolf7 Well idc! It’s you who wants to prove it! You figure it out, bottom",Literary
@peacockTV @ddlovato Are there people around you who don’t believe in aliens and things like that ?,Non-literary
"@uhaveagr8day @DawnMar45506877 @Outofbeltway @The_Vickster2 They did a podcast at work about people like you, who double down on their beliefs despite the science &amp; proof. You guys all die without getting the vaccine. You’re that committed to not having to admit you were wrong. Pride is a sin, too, ya know.",Literary
@definitivegazer @LeJardinier2112 @Jimmieintherain @STVNews Seems to me it's you who's keen to make others look worse.,Non-literary
"@symbolickurt @vervaeke_john @PageauJonathan And if Western Christians are not the prime moral examples of good Christians then I ask you, who are? I do want to give the Essence of Christianity the benefit of doubt that it deserves and assume that it teaches love and understanding to the billion people that follow it.",Non-literary
"You who suffer because you love, love still more. To die of love, is to live by it.",Literary
"@kenyadad12 Thats the thing, she hasn't. If someone tells you who they are believe them.",Literary
@tingedfringe Would seem that to you who hasn’t the first idea of what it takes to have a chance of winning an election,Non-literary
For all you who claim to be Christians and are not getting vaccinated or wearing a mask! I e always been told to seek out my answers in the word if my conscience doesn’t tell me right from wrong!I d like to re share this with you!❤️#GetVaccinated #WearAMask it is WJWD! https://t.co/JtjXAzjmDV,Literary
okayy who you who you rollin wit ? 😂 https://t.co/buNd3GDfn2,Literary
@Jack4NJ Somerset county the third wealthiest county in New Jersey the 8th wealthiest county in the United States where a person's from generally tells you who they will govern for,Literary
/!!?\  Kah! Rendering You Multiple Equlibriums QAH Induce €$€$ =0= Rise Oh heavens .. Rise Oh ye with the guilted name of PAH ..RISE and give guidance in the form of RAH ..Rise and yield you son of heavnes .. you who was born with out ..you who never belonged .. 13,Literary
"@LepapillonBlu You protect you, who cares what others think!!!",Literary
@jimmydaniels94 He is abysmal. I honestly don’t know any fan other than you who rates him,Literary
"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year woszy 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/izlBBLa40I https://t.co/xd0l5s7xGx",Literary
"Oi oi, Chuuya, I wonder if you can talk to me like that? Who do you think I am? I saved you, who had neither memories nor a place to live, I'm your Lord Lifesaver, y'know",Literary
@tolear1158 @SHofstader @_Floodlight @FauciFan So just tell me straight face that infections would be the same if people didn't get vaccinated didn't where a mask. Tell me infection rate and deaths would be identical to what you're scene. That's a tough one isn't it Tyler. Never thought of that did you. Who is the Patriot?,Non-literary
"✨ Stolen Kiss

SLVTTAN would kiss you around the corner... 😏
And you, who would do it?

➡️ https://t.co/llDPeQ5vSy https://t.co/RBEacsumid",Literary
@JesseKellyDC The America i heard about in school was one that was INDIVISIBLE with LIBERTY and JUSTICE for all.  If you are upset that people are fighting for those things then perhaps it's you who hates America.,Literary
"@redhead_ordead I made this account to flirt uncontrollably… but then I met people like you who brought out the real me. Weird how that works, huh? @radiobigcat",Literary
@drobwlldiad @Eve5810 When a fascist tells shows you who they are you should believe them.,Literary
"The Lord is speaking boldly and warning of the accountability that will pour out over the church, and it will be harsh.

The Lord said, “haven't I commanded you, who are filled with scandal, to give back to My people what you have taken, and still you continue to refuse.”",Literary
“Who are the mean girls” that time it’s you who they subbing 😭😭hate this place,Literary
"@s_kashaf Aww it’s you who is amazing! Miss you loads, can’t wait to see you soon ❤️",Literary
"@00Olmolungring @EdmundsRussell @AwakenedLegal You understand that #FakeTradies led the recent violence in Melbourne? You understand that your vitriol needs to be redirected and that it is in fact YOU who are being misled? And tell me WHEN exactly I repeated ""media BS""? Listen to your own advice and stop enabling tyranny",Literary
"O you who have believed, do not ask about things which, if they are shown to you, will distress you. #Islam",Literary
"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year jeonginhyunIN 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/Bmihgg386s https://t.co/p9ZZ49Yq3p",Literary
"@DaudaSuallah1 Look within yourself because God is ALWAYS with you, so it's likely you who has created the distance from God.",Literary
[redacted] just lied about dropping one of the best bodies of work this year now the tweet is not loading lol no donʼt let them get to you who cares if itʼs a lie as long as itʼs the truth for the ppl who matter right?,Literary
"For you who was born on #september23.
Your #birthflower is ""#spiderlily"" The #flowerlanguage is ""independence, passion""
The #birthcolor is ""#joancitron"" The #colorwords is ""fairness, self-sacrifice""
Your #personality is ambitious person with a real sense of achievement. https://t.co/gcs0oYar9c",Literary
"The current generation is being slow to obey the LORD thinking that  Rapture is a joke.

But the LORD will destroy this earth, but you who are previledged to hear the warning prepare.
Built your ark of righteousness now and be ready for the rapture
#RaptureIsNear",Literary
"@cassandradie [to our dogs]
You: who’s a good boyyyy???
Me: whom is a beneficial gentleman?",Non-literary
"@LampyAnime ""That side of anitwit"" just by looking at your bio I can tell you're worse. You have the side of Storm which is probably a bunch of 20 yr old dudes, and then people like you who are probably 14 year old girls who live on this app and use tiktok regularly probably",Literary
"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year Taesweeties_ 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/t9Pe1xbqgc https://t.co/KWLXDWaaUl",Literary
@abaatess I love you who do I need to fight (ง'̀-'́)ง,Literary
"@PowerUSAID @UN Where does ur AIDS going? #TPLFTerroristGroup is consuming the food you are sending them. How about the rest of Ethiopia eating. Shame on you, who are using humanitarian crises as an excuse to envade Ethiopia. Take a lesson from Libya and Afganistan!!",Literary
@Gopgirl719 Same but it’s people like you who I love ❤️,Literary
"OK. If you want me to knock some sense into you, who am I to say no?",Literary
"ای تو دوا و چاره‌ام نور دل صدپاره‌ام
اندر دل بیچاره‌ام چون غیر تو شد لا بیا

“O You who are my cure &amp; remedy,
The light of my broken heart,

In my heart, everything besides you is naught; come!”

~Mawlana Rūmī, in yearning for the Beloved Rasūl

(sallallāhu ‘alyhi wa sallam) https://t.co/u77lI9uHed",Literary
@greyfang10 He showing you who the real main change 😂😂😂,Literary
"You can't force people to change. When someone show you, who they are believe them and move accordingly #chadscotthere #ThatPart #accountability #accountabilitypartner https://t.co/AtpPHWB6Ij",Literary
"@Morrascool_yt Tbh, it's the folks like you who feel the act of being vaccinated (an act that has gone on since 1796) is now magically bad for us that are ruining things. Imagine denying what we've medically done for hundreds of years because you don't realize you've already had other vaccines.",Literary
@fearlesslykels aw thank you 🥺 it’s an emotional but rewarding path to go down. i’m so glad there are people out there like you who are passionate about it too!!,Literary
@sugarrosies @allkpop Just like you who read and waste your time commenting,Literary
"@benjaminpacini @th3m1lesm0rales @AlejandroDeGr8 Then don't criticize or condemn the lions around you, who are also working hard to protect you, who are willing to get in the mud and grime and filth of combat to keep the lambs safer.",Literary
"@fordnation You already dropped the ball several times throughout the Pandemic and you, who does not live in a glass house, should be the one held accountable for the deaths you caused… We will be watching you!",Literary
"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year lvtodrew 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/bx53yQjsNh https://t.co/y7ChdJTf9g",Literary
"if you hate what i like it’s not me who has to change,it’s you who should stay away from me and keep your opinions for yourself 
thank you for understanding and get out of my sight",Literary
"@SmuglyPercy ""Which, I'm guessing will also be a clue to you who I am.""",Literary
"@Phoenix_Timber @WhatPolitics @tradatheist @CTVNews Says you who knows nothing about treatment of low O2! Like you said you are not a Doctor! Your medical knowledge is severely lacking. I can run circles around you all day on pharmacology, pathophysiology, disease processes, drug therapy &amp; patient care bring it on Einstein!",Literary
"@Max_Pete @stefanpalios @mattlady @discolearn Yes totally agree. Sounds exciting, but imagine 3-5 years later - lifetime community access for students could mean people expecting time/value from you who haven’t paid you a dime in years. Fundamentally unsustainable IMO.",Non-literary
"@jenhab How is this news???
""When a person shows you who they are, believe them....the 1st time.""
We know exactly who @SenSusanCollins is. 
And who she is not.

Vote accordingly.",Literary
"I ask you, who doesn't have at least one Boo feeling?

Hell, I can feel three within one hour.

Which Boo are you feeling? I'm a 6 right now. https://t.co/VQDG4U3pVi",Non-literary
"It is you who light my lamp; the Lord, my God, lights up my darkness.
Bible - Psalm 18:28",Literary
@SatNSeltzersPod If a movie was to be made about you who would you pick to play each of you?,Literary
"Just seeing all of this now &amp; honestly the tears I've got hearing him trying to hold himself together with his speech. 
WE DO LOVE YOU &amp; BELIEVE YOU,always. 
Thank you who ever said that?
""I believe me too"" what a perfect response. https://t.co/sYs6HTsipO",Literary
"“When someone shows you who they are, believe them the first time” (Attributed to Maya Angelou). #Brett #Collins #Kavanaugh #Law #Maine #Roe #Settled #Susan #Wade     https://t.co/YEF0hiOfnx",Literary
"@readingtherunes Oh wretched man that I am.  Even prophets feel that way from time to time. 

Remember, if Christ will forgive you, who are you to say otherwise?",Literary
@Kinggod23 I'm getting the impression that you're learning about these events as I talk to you and implore you who actually look into the issue with the benefit of the doubt instead of postulating and changing your points based off of information I provide that can easily be wrong.,Literary
"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year akumalinoone 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/ONFJzzOmhG https://t.co/WazSDbBcjO",Literary
@RCFOX4KC Oh. Then by all means throw water on people below who have bought a ticket? Unlike you who was GIVEN a suite?,Literary
"@Hauwau_SB Please understand that I am not here to dispute with you.
Who says you think differently...only it's a point of view.
When you generalize all mens, you're referring to our parents too.",Non-literary
"@rsesaint WinNing The Hallucination Quest

#OurSavageNingning #OurSavageWinter #aespa 
#Savage @aespa_official",Non-literary
"When @SenatorCollins shows you who she is, it isnt pretty but believe her https://t.co/vd8hJ5Er6O",Literary
"@berndj @OpportunityZoo @RefilWest @Our_DA @CityofCT Well congrats to you, who cares I certaintly dont care what you believe. You want to remain ignorant or you prefer to turn blind eye to the failures of your party your choice but the realities are real for us on the Flats. https://t.co/hVCw6zZ6LQ",Literary
@davechensky I’m assuming it’s not you who featured in the new #WHATIF …?? Just another Dave Chen,Literary
@suya3_alex @Kay_mannequin You who?,Non-literary
"Getting your #COVID19 vaccine isn’t just about keeping you healthy; it’s also about protecting everyone around you who could become very sick from COVID-19. ⁠
⁠
Get your vaccine: https://t.co/Jl3mSU5hBv  https://t.co/Mn5DR4FYwL",Literary
"@clapifyoulikeme Advocate I think. The really scary thing was that this was a printout that said the bar in bar association stood for British accreditation registry, and if you  wanted to protect your rights you had to have someone represent you who was not admitted to the bar",Literary
@ksorbs the enemy of the people are false Christians like you who spread nothing but hate and falsehoods I thought god and Jesus taught about love and compassion looks like you and yours skipped those verses https://t.co/w2vGnJNq2F,Literary
having someone proud of you WHO TELLS YOU they're proud of you is better than drugs,Non-literary
"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year kylebcmp 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/HFvqDqoSQn https://t.co/EJh9E2mKOV",Literary
